Variable,values,level
p6210,1,Ninguno
p6210,2,Preescolar
p6210,3,Básica primaria (1o - 5o)
p6210,4,Básica secundaria (6o - 9o)
p6210,5,Media (10o - 13o)
p6210,6,Superior o universitaria
p6210,9,"No sabe, no informa"
maxEducLevel,1,None
maxEducLevel,2,preschool
maxEducLevel,3,primary incomplete (1-4)
maxEducLevel,4,primary complete (5)
maxEducLevel,5,secondary incomplete (6-10)
maxEducLevel,6,secondary complete (11)
maxEducLevel,7,terciary
maxEducLevel,9,N/A
regSalud,1,r. contributivo
regSalud,2,r. especial
regSalud,3,r. subsidiado
regSalud,9,N/A
cotPension,1,cotiza pension
cotPension,2,no cotiza pension
cotPension,3,pensionado
cotPension,9,N/A
sizeFirm,1,self-employed
sizeFirm,2,2-5 workers
sizeFirm,3,6-10 workers
sizeFirm,4,11-50
sizeFirm,5,>50
oficio,1,"""Químicos, Físicos   (Profesionales y Técnicos)"""
oficio,2,"""Arquitectos – Ingenieros   (civil, eléctrico, electrónico, mecánico, químico, metalúrgicos, minas e   industrial)"""
oficio,3,"""Agrimensores, dibujantes –   Técnicos en (Ingeniería civil,       eléctricos, electrónicos, mecánicos, químico, industrial,   metalúrgicos, minas, de la industria) Topógrafo"""
oficio,4,"""Pilotos, Ingeniero de vuelo,   oficiales de cubierta, maquinistas – Navegación marítima y fluvial"""
oficio,5,"""Biólogos, agrónomos,   zoólogos, bacteriólogos, farmacólogos, técnicos en ciencias biológicas y   agronómicas"""
oficio,6,"""Médicos, cirujanos,   asistentes médicos, odontólogos, asistentes dentistas, veterinarios,   asistentes veterinarios, farmacéuticos, dietéticos y nutriólogos de salud   pública, nutricionista"""
oficio,7,"""Enfermeros, parteras   diplomados y no diplomados, optómetras, fisioterapeutas, técnicos en   radiología, Instrumentador quirúrgico, """
oficio,8,"""Estadistas, matemáticos,   analistas de sistemas, técnicos"""
oficio,9,"""Economistas"""
oficio,11,"""Contadores"""
oficio,12,"""Abogados, jueces,   magistrados, fiscales, notarios"""
oficio,13,"""Docentes"""
oficio,14,"""Sacerdotes, pastores,   monjas"""
oficio,15,"""Escritores, periodistas,   publicista"""
oficio,16,"""Escultores, pintores,   fotógrafos, decoradores, operadores de cámaras de cine y TV, diseñador"""
oficio,17,"""Compositores, músicos,   cantantes, coreógrafos, bailarines, actores, directores, artistas,   empresarios y productores de espectáculos, recreacionista, locutor"""
oficio,18,"""Atletas, deportistas,   docentes de educación física"""
oficio,19,"""Bibliotecarios, archivistas,   encargados de museos, sociólogos, antropólogos, trabajadores de asistencia   social, filólogos, traductores, interpretes, psicólogos, sociólogo, lector de   cartas"""
oficio,20,"""Cuerpos legislativos,   personal directivo de la administración pública"""
oficio,21,"""Directores, gerentes   (personal directivo)"""
oficio,30,"""Jefes de empleados de   oficinas, supervisor de encuestas"""
oficio,31,"""Agentes   administrativos"""
oficio,32,"""Secretarias, mecanógrafas,   taquígrafos, teletípistas, operadores de máquinas perforadoras de tarjetas y   cintas"""
oficio,33,"""Auxiliar de contabilidad,   cajeros, empleados de bancos"""
oficio,34,"""Operadores de máquinas   contables y de calcular, digitador, transcriptor"""
oficio,35,"""Jefes de estaciones de   ferrocarril y oficinas de correos"""
oficio,36,"""Jefes de tren, controladores   de coches camas, cobradores, azafata de bus"""
oficio,37,"""Carteros y mensajeros"""
oficio,38,"""Telefonistas,   telégrafos"""
oficio,39,"""Almacenistas, bodegueros,   auxiliar administrativo, recepcionistas, empleados de oficinas de viajes,   empleados de biblioteca y archivo, auxiliar de importaciones, exportaciones,   tramitador de documentos, auxiliar de seguros varios, de vida y   automotores"""
oficio,40,"""Director, gerente de   ventas"""
oficio,41,"""Comerciante,   propietario"""
oficio,42,"""Jefes de ventas,   compradores"""
oficio,43,"""Agente de ventas,   representante comercial, comisionista"""
oficio,44,"""Agente de seguros,   inmobiliarios, de cambio y bolsa, subastadores, jefes de ventas de   intangibles, comisionista de propiedad raiz, promotor de salud"""
oficio,45,"""Vendedores, ambulantes, a   domicilio, de loterías y periódicos, mercaderistas"""
oficio,49,"""Prestamista"""
oficio,50,"""Directores de hotel, bares,   similares"""
oficio,51,"""Gerente - propietario de   hotel, bares, restaurantes"""
oficio,52,"""Mayordomo, ecónomo, ama de   llaves"""
oficio,53,"""Cocineros, camareros,   barman, meseros"""
oficio,54,"""Empleada doméstica, niñera,   dama de compañía, camarera"""
oficio,55,"""Guardián de edificio,   portero, sacristán, aseador, limpia ventanas, deshollinador"""
oficio,56,"""Lavanderos, limpiadores,   planchadores"""
oficio,57,"""Peluqueros, barberos,   manicuristas, maquillador, especialista en tratamientos de belleza"""
oficio,58,"""Bomberos, agentes de   policía, detective público y privado, vigilante, guardián de prisiones"""
oficio,59,"""Guías de turismo, policía de   turismo, empresario de pompas fúnebres, embalsamador, recibidor de apuestas   en casino, garitero, azafata de avion, auxiliar de farmacia, enfermera,   veterinaria, trabajadora sexual"""
oficio,60,"""Administrador de explotación   agropecuaria, cooperativas agropecuarias, mayordomo y/o capataz de   finca"""
oficio,61,"""Agricultores y   ganaderos"""
oficio,62,"""Trabajadores agropecuarios   en general, peón agrícola, tractorista, recolector de algodón, ordeñador,   porcicultor, cunicultor, avicultor, capricultor, avicultor, jardinero,   apicultor"""
oficio,63,"""Talador de árboles,   viverista forestal, guardabosques"""
oficio,64,"""Pescadores en río y mar,   piscicultor, trampero"""
oficio,70,"""Supervisor de fabricación   (maquinaria y productos metálicos, equipos eléctricos y electrónicos,   productos de papel, cartón, caucho, productos químicos, plásticos, otros   materiales sintéticos, de tejidos y confección de prendas de vestir,   artículos de cuero, de calzado, de madera, cerámica y vidrio, productos del   tabaco) -Supervisor (Tratamiento de metales, de sustancias químicas básicas y   materias afines, preparación de alimentos y bebidas, de construcciones y   obras, artes gráficas, producción y distribución de electricidad, gas y   agua)"""
oficio,71,"""Minero, cantero, dinamitero,   lavador de oro, sondista (pozos de petróleo y gas)"""
oficio,72,"""Fundidor, laminador,   moldeador, trefilador, galvanizador, pulidor de piezas de metal colado,   limpiador de metales"""
oficio,73,"""Trabajadores de tratamiento   de la madera y de fabricación de papel y cartón, Madera (aserrador,   descortezador, operador de sierra, de trompo, cortador)"""
oficio,74,"""Operarios de los   tratamientos químicos, destilador, refinadores del petróleo, preparadores de   gas propano, carbonero(vegetal)"""
oficio,75,"""Clasificador de fibras,   lavador de lana, de fibras textiles (exc. Lana), operarios de la fabricación   de abonos, pinturas y barnices (incluye colorantes) de resinas y similares,   de ácidos, hilanderos, bobinadotes, tejedores, blanqueadores, tintoreros,   inspector de calidad (fibras)"""
oficio,76,"""Curtidor, adobador, teñidor   de cueros y pieles"""
oficio,77,"""Trabajadores de la   preparación de alimentos y bebidas – panaderos, pasteleros, confiteros,   matarifes, carniceros, tratamiento y elaboración de productos lácteos,   trapichero, panelero, hornero, catador, cerveceros"""
oficio,78,"""Trabajadores en el   procesamiento del tabaco, cigarreros"""
oficio,79,"""Sastres, modistas,   peleteros, tapiceros, fábrica de sombreros, bordadores, colchoneros"""
oficio,80,"""Zapateros, guarnecedor,   artesanos del cuero, talabartero"""
oficio,81,"""Carpinteros, ebanistas,   labrador, tallador"""
oficio,82,"""Labrantes y adornistas   (pulen granito, mármol y caliza)"""
oficio,83,"""Herreros, ornamentador,   forjadores, ajustadores de máquinas herramientas, taladrador, rectificador de   metales, esmerilador, afilador de cuchillos, tijeras, cerrajero"""
oficio,84,"""Ajustadores, montadores e   instaladores de maquinaria e instrumentos de precisión, relojeros y   mecánicos"""
oficio,85,"""Electricistas de vivienda y   automotriz, instalador y reparador de teléfonos y contadores"""
oficio,86,"""Operadores de estaciones de   radio y TV, equipos de sonorización, dj"""
oficio,87,"""Fontaneros, soldadores,   plomero, instalador de tuberías de gas, remachador, latonero"""
oficio,88,"""Joyeros y plateros"""
oficio,89,"""Vidrieros, ceramistas,   sopladores, modeladores, laminadores, cortadores, pulidores de vidrio,   biselador, hornero (tejas, ladrillos, loza, porcelana), pintores y   decoradores de vidrio y cerámica"""
oficio,90,"""Trabajadores de la   fabricación de productos de caucho y plástico"""
oficio,91,"""Confeccionadores de cajas,   bolsas de cartón y papel"""
oficio,92,"""Trabajadores de las artes   gráficas, tipógrafos, encuadernadores"""
oficio,93,"""Pintor de edificaciones, de   automóviles, mezclador de pinturas"""
oficio,94,"""Trabajadores manufactureros,   constructores y afinadores de instrumentos musicales, tejer cestos, fabrica   muebles en material de caña, junco o mimbre, cepillos y escobas. Operario en   la elaboración de prefabricados de hormigón, fósforos, linóleo, lápices,   dientes artificiales, películas y papel fotográfico, confecciona muñecos y   juguetes de trapo, de botones, sellos de caucho, confección de persianas,   taxidermista"""
oficio,95,"""Albañiles, estucador,   cristaleros, mampostero, techadores, carpintero"""
oficio,96,"""Operador de instalaciones de   producción de energía eléctrica, de máquinas fijas"""
oficio,97,"""Manipulación de mercancía y   movimiento de tierras – Estibadores, cargadores, empacadores, empalmador de   cables, conductor de grúa, operarios de maquinaria pesada"""
oficio,98,"""Conductores de vehículos de   transporte, taxistas, choferes"""
oficio,99,"""Peones no clasificados,   recolector de basura, lustrabotas, montallantas, barrendero de calles,   jardines y parques, lavador de platos en restaurante"";"
relab,1,"""Obrero o empleado de empresa particular"";"
relab,2,"""Obrero o empleado del gobierno"";"
relab,3,"""Empleado doméstico"";"
relab,4,"""Trabajador por cuenta propia"";"
relab,5,"""Patron o empleador"";"
relab,6,"""Trabajador familiar sin remuneracion"";"
relab,7,"""Trabajador sin remuneracin en empresas o negocios de otros hogares"";"
relab,8,"""Jornalero o peon"";"
relab,9,"""Otro"";"
